Nodi 48
16 28 3
16 29 4
16 30 6
16 31 5
16 32 6
16 33 6
16 34 4
16 35 4
16 36 6
16 37 2
16 38 6
16 39 7
16 40 6
16 41 8
16 42 3
16 43 5
16 44 2
16 45 5
16 46 4
16 47 5
17 18 5
17 19 5
17 20 5
17 21 6
17 22 7
17 23 7
17 24 4
17 25 8
17 26 8
17 27 8
17 28 5
17 29 6
17 30 5
17 31 3
17 32 2
17 33 5
17 34 6
17 35 7
17 36 7
17 37 5
17 38 5
17 39 5
17 40 7
17 41 8
17 42 4
17 43 6
17 44 6
17 45 7
17 46 3
17 47 6
18 19 5
18 20 3
18 21 6
18 22 5
18 23 2
18 24 5
18 25 3
18 26 3
18 27 7
18 28 4
18 29 5
18 30 8
18 31 6
18 32 7
18 33 7
18 34 3
18 35 5
18 36 2
18 37 6
18 38 4
18 39 5
18 40 7
18 41 7
18 42 7
18 43 4
18 44 4
18 45 6
18 46 8
18 47 5
19 20 5
19 21 6
19 22 7
19 23 6
19 24 5
19 25 8
19 26 7
19 27 8
19 28 4
19 29 7
19 30 7
19 31 3
19 32 7
19 33 8
19 34 7
19 35 7
19 36 3
19 37 4
19 38 5
19 39 5
19 40 7
19 41 8
19 42 6
19 43 5
19 44 5
19 45 6
19 46 6
19 47 5
20 21 5
20 22 6
20 23 4
20 24 2
20 25 6
20 26 4
20 27 6
20 28 5
20 29 6
20 30 7
20 31 5
20 32 7
20 33 4
20 34 2
20 35 2
20 36 5
20 37 4
20 38 7
20 39 5
20 40 4
20 41 9
20 42 5
20 43 4
20 44 3
20 45 7
20 46 6
20 47 6
21 22 5
21 23 4
21 24 4
21 25 5
21 26 7
21 27 9
21 28 6
21 29 4
21 30 3
21 31 3
21 32 7
21 33 6
21 34 6
21 35 5
21 36 5
21 37 6
21 38 5
21 39 3
21 40 7
21 41 7
21 42 2
21 43 5
21 44 2
21 45 6
21 46 5
21 47 4
22 23 4
22 24 7
22 25 7
22 26 4
22 27 6
22 28 4
22 29 5
22 30 5
22 31 5
22 32 7
22 33 6
22 34 4
22 35 6
22 36 7
22 37 7
22 38 7
22 39 4
22 40 8
22 41 3
22 42 3
22 43 2
22 44 5
22 45 5
22 46 7
22 47 6
23 24 4
23 25 3
23 26 4
23 27 6
23 28 2
23 29 3
23 30 7
23 31 5
23 32 7
23 33 6
23 34 2
23 35 5
23 36 4
23 37 6
23 38 6
23 39 3
23 40 8
23 41 6
23 42 5
23 43 2
23 44 2
23 45 5
23 46 7
23 47 3
24 25 5
24 26 6
24 27 8
24 28 5
24 29 6
24 30 7
24 31 3
24 32 6
24 33 5
24 34 4
24 35 4
24 36 7
24 37 5
24 38 5
24 39 5
24 40 6
24 41 7
24 42 4
24 43 5
24 44 2
24 45 7
24 46 7
24 47 5
25 26 6
25 27 9
25 28 5
25 29 6
25 30 6
25 31 8
25 32 7
25 33 5
25 34 5
25 35 6
25 36 5
25 37 7
25 38 7
25 39 6
25 40 6
25 41 7
25 42 6
25 43 5
25 44 3
25 45 8
25 46 8
25 47 6
26 27 6
26 28 6
26 29 5
26 30 5
26 31 8
26 32 7
26 33 6
26 34 6
26 35 2
26 36 5
26 37 7
26 38 7
26 39 7
26 40 8
26 41 7
26 42 5
26 43 2
26 44 5
26 45 9
26 46 7
26 47 7
27 28 5
27 29 5
27 30 7
27 31 9
27 32 7
27 33 8
27 34 8
27 35 8
27 36 8
27 37 7
27 38 8
27 39 9
27 40 10
27 41 9
27 42 7
27 43 8
27 44 7
27 45 8
27 46 5
27 47 6
28 29 5
28 30 5
28 31 5
28 32 7
28 33 5
28 34 4
28 35 7
28 36 6
28 37 4
28 38 6
28 39 5
28 40 8
28 41 5
28 42 4
28 43 4
28 44 4
28 45 4
28 46 6
28 47 2
29 30 5
29 31 7
29 32 6
29 33 3
29 34 4
29 35 5
29 36 7
29 37 6
29 38 7
29 39 6
29 40 7
29 41 8
29 42 2
29 43 5
29 44 5
29 45 6
29 46 7
29 47 6
30 31 4
30 32 4
30 33 5
30 34 5
30 35 6
30 36 7
30 37 4
30 38 5
30 39 4
30 40 8
30 41 6
30 42 3
30 43 7
30 44 5
30 45 6
30 46 2
30 47 4
31 32 5
31 33 5
31 34 5
31 35 6
31 36 4
31 37 6
31 38 2
31 39 2
31 40 7
31 41 7
31 42 5
31 43 7
31 44 5
31 45 4
31 46 6
31 47 6
32 33 3
32 34 7
32 35 8
32 36 7
32 37 5
32 38 7
32 39 6
32 40 9
32 41 9
32 42 6
32 43 7
32 44 5
32 45 8
32 46 5
32 47 8
33 34 4
33 35 6
33 36 8
33 37 8
33 38 6
33 39 3
33 40 8
33 41 8
33 42 5
33 43 4
33 44 7
33 45 7
33 46 7
33 47 5
34 35 4
34 36 5
34 37 6
34 38 7
34 39 5
34 40 6
34 41 7
34 42 5
34 43 4
34 44 4
34 45 5
34 46 7
34 47 4
35 36 7
35 37 6
35 38 6
35 39 6
35 40 6
35 41 9
35 42 3
35 43 4
35 44 3
35 45 8
35 46 7
35 47 7
36 37 6
36 38 2
36 39 5
36 40 8
36 41 7
36 42 7
36 43 6
36 44 6
36 45 4
36 46 7
36 47 5
37 38 4
37 39 6
37 40 7
37 41 6
37 42 5
37 43 5
37 44 4
37 45 3
37 46 2
37 47 5
38 39 3
38 40 6
38 41 5
38 42 6
38 43 8
38 44 7
38 45 2
38 46 5
38 47 4
39 40 6
39 41 7
39 42 5
39 43 5
39 44 5
39 45 5
39 46 6
39 47 6
40 41 7
40 42 5
40 43 8
40 44 7
40 45 4
40 46 8
40 47 6
41 42 6
41 43 5
41 44 6
41 45 3
41 46 8
41 47 3
42 43 5
42 44 4
42 45 6
42 46 5
42 47 4
43 44 3
43 45 7
43 46 7
43 47 5
44 45 7
44 46 6
44 47 5
45 46 5
45 47 2
46 47 6
